town,year,event_type,effect_direction,confidence,intensity,lag_t,lag_t1,source_url,source_name,publish_date,_score
沼山津4丁目,2006,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
海路口町,2006,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
清水万石5丁目,2006,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
清水万石5丁目,2007,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
清水万石5丁目,2007,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
清水万石5丁目,2008,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
清水万石5丁目,2008,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
清水万石5丁目,2009,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
清水万石5丁目,2009,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
清水万石5丁目,2011,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
清水亀井町,2006,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
清水本町,1999,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
清水町大字打越,1999,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
清水町大字打越,2002,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
清水町大字松崎,1999,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
渡鹿6丁目,2006,public_edu_medical,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
渡鹿6丁目,2006,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
田崎町,1999,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
