町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
出水１丁目,1183,507,676,20,37,35,42,58,69,62,61,54,88,86,125,98,67,93,63,45,51,19,8,2
出水２丁目,602,277,325,30,17,27,34,26,20,27,29,25,35,49,42,49,47,58,34,19,20,9,5,0
出水３丁目,1303,582,721,48,84,61,83,75,62,48,77,88,103,111,90,76,80,75,54,37,28,19,4,0
出水４丁目,1464,698,766,65,75,92,96,61,66,63,80,76,130,114,94,75,92,92,70,52,41,22,6,2
出水５丁目,1917,907,1010,69,102,112,102,94,63,86,95,127,147,140,112,130,133,138,82,69,58,44,11,3
出水６丁目,3288,1573,1715,137,142,181,167,171,162,188,211,241,250,212,210,207,218,197,144,109,95,36,8,2
出水７丁目,2616,1233,1383,128,112,103,101,114,83,133,134,168,166,163,153,152,157,194,158,181,134,60,18,4
出水８丁目,1958,921,1037,91,117,96,89,75,79,89,132,125,128,105,127,135,150,122,82,84,87,36,9,0
和泉町,339,174,165,17,11,10,15,17,13,11,24,17,24,15,20,22,26,37,19,14,17,8,2,0
板屋町,16,8,8,0,0,1,1,0,0,0,1,3,1,1,1,0,1,3,1,1,0,1,0,0
出仲間１丁目,722,338,384,36,38,53,34,31,28,44,38,53,66,50,46,58,53,43,19,14,5,10,3,0
出仲間２丁目,529,238,291,35,26,35,26,14,28,35,26,38,38,32,28,27,27,33,21,34,11,11,4,0
出仲間３丁目,769,383,386,48,49,60,41,43,46,46,56,66,61,50,48,53,40,24,19,9,3,6,1,0
出仲間４丁目,1124,534,590,44,58,73,64,70,39,38,57,64,105,93,79,52,55,69,63,65,29,4,3,0
出仲間５丁目,685,345,340,26,30,53,49,41,37,29,39,46,62,76,53,28,26,34,16,17,14,7,2,0
出仲間６丁目,1056,500,556,56,56,62,50,48,84,74,54,87,68,74,67,62,68,64,23,24,21,11,3,0
出仲間７丁目,1073,489,584,48,71,62,70,37,44,55,54,78,81,69,77,68,68,61,51,28,28,19,4,0
出仲間８丁目,569,278,291,18,19,27,34,45,32,21,26,37,46,57,48,45,17,27,27,24,11,5,3,0
出仲間９丁目,326,160,166,21,17,17,11,40,35,27,26,30,21,15,22,10,10,9,7,6,0,1,1,0
今町,817,378,439,21,21,26,31,26,31,18,34,40,53,47,53,44,87,87,70,48,41,24,13,2
魚屋町１丁目,68,32,36,4,0,0,0,9,16,16,7,5,2,1,2,2,1,2,1,0,0,0,0,0
魚屋町２丁目,26,14,12,0,1,0,1,7,3,1,2,1,3,1,0,0,0,0,4,0,1,1,0,0
魚屋町３丁目,5,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0
海路口町,270,130,140,17,26,11,18,13,11,14,22,18,19,19,17,11,14,16,6,7,4,6,1,0
薄場町,52,25,27,3,3,4,4,5,3,4,2,6,6,4,1,1,0,4,1,1,0,0,0,0
打越町,1666,796,870,56,83,63,61,89,67,76,101,106,113,115,80,123,124,145,95,57,57,35,18,2
内田町,1171,569,602,30,59,50,56,45,24,52,64,65,91,73,73,90,94,104,61,61,47,25,5,2
内坪井町,674,308,366,11,36,32,35,31,29,27,45,50,54,58,32,34,42,45,34,34,24,15,6,0
江越１丁目,833,402,431,55,33,30,34,73,66,59,49,54,81,79,64,49,28,30,20,8,7,12,2,0
